00:00:00;XEROX CORPORATI
00:00:01;XEROX CORPORATI
00:00:02;XEROX CORPORATI
00:00:03;XEROX CORPORATI
00:00:04;XEROX CORPORATI
00:00:05;XEROX CORPORATI
00:00:06;XEROX CORPORATI
00:00:07;XEROX CORPORATI
00:00:08;XEROX CORPORATI
00:00:09;XEROX CORPORATI
00:00:0A;OMRON TATEISI E
00:00:0B;MATRIX CORPORAT
00:00:0C;CISCO SYSTEMS,I
00:00:0D;FIBRONICS LTD.
00:00:0E;FUJITSU LIMITED
00:00:0F;NEXT,INC.
00:00:10;SYTEK INC.
00:00:11;NORMEREL SYSTEM
00:00:12;INFORMATION TEC
00:00:13;CAMEX
00:00:14;NETRONIX
00:00:15;DATAPOINT CORPO
00:00:16;DU PONT PIXEL S
00:00:17;TEKELEC
00:00:18;WEBSTER COMPUTE
00:00:19;APPLIED DYNAMIC
00:00:1A;ADVANCED MICRO 
00:00:1B;NOVELL INC.
00:00:1C;BELL TECHNOLOGI
00:00:1D;CABLETRON SYSTE
00:00:1E;TELSIST INDUSTR
00:00:1F;Telco Systems,I
00:00:20;DATAINDUSTRIER 
00:00:21;SUREMAN COMP. &
00:00:22;VISUAL TECHNOLO
00:00:23;ABB INDUSTRIAL 
00:00:24;CONNECT AS
00:00:25;RAMTEK CORP.
00:00:26;SHA-KEN CO.,LTD
00:00:27;JAPAN RADIO COM
00:00:28;PRODIGY SYSTEMS
00:00:29;IMC NETWORKS CO
00:00:2A;TRW - SEDD/INP
00:00:2B;CRISP AUTOMATIO
00:00:2C;AUTOTOTE LIMITE
00:00:2D;CHROMATICS INC
00:00:2E;SOCIETE EVIRA
00:00:2F;TIMEPLEX INC.
00:00:30;VG LABORATORY S
00:00:31;QPSX COMMUNICAT
00:00:32;Marconi plc
00:00:33;EGAN MACHINERY 
00:00:34;NETWORK RESOURC
00:00:35;SPECTRAGRAPHICS
00:00:36;ATARI CORPORATI
00:00:37;OXFORD METRICS 
00:00:38;CSS LABS
00:00:39;TOSHIBA CORPORA
00:00:3A;CHYRON CORPORAT
00:00:3B;i Controls,Inc.
00:00:3C;AUSPEX SYSTEMS 
00:00:3D;UNISYS
00:00:3E;SIMPACT
00:00:3F;SYNTREX,INC.
00:00:40;APPLICON,INC.
00:00:41;ICE CORPORATION
00:00:42;METIER MANAGEME
00:00:43;MICRO TECHNOLOG
00:00:44;CASTELLE CORPOR
00:00:45;FORD AEROSPACE 
00:00:46;OLIVETTI NORTH 
00:00:47;NICOLET INSTRUM
00:00:48;SEIKO EPSON COR
00:00:49;APRICOT COMPUTE
00:00:4A;ADC CODENOLL TE
00:00:4B;ICL DATA OY
00:00:4C;NEC CORPORATION
00:00:4D;DCI CORPORATION
00:00:4E;AMPEX CORPORATI
00:00:4F;LOGICRAFT,INC.
00:00:50;RADISYS CORPORA
00:00:51;HOB ELECTRONIC 
00:00:52;Intrusion.com,I
00:00:53;COMPUCORP
00:00:54;MODICON,INC.
00:00:55;COMMISSARIAT A 
00:00:56;DR. B. STRUCK
00:00:57;SCITEX CORPORAT
00:00:58;RACORE COMPUTER
00:00:59;HELLIGE GMBH
00:00:5A;SysKonnect GmbH
00:00:5B;ELTEC ELEKTRONI
00:00:5C;TELEMATICS INTE
00:00:5D;CS TELECOM
00:00:5E;USC INFORMATION
00:00:5F;SUMITOMO ELECTR
00:00:60;KONTRON ELEKTRO
00:00:61;GATEWAY COMMUNI
00:00:62;BULL HN INFORMA
00:00:63;BARCO CONTROL R
00:00:64;YOKOGAWA DIGITA
00:00:65;Network General
00:00:66;TALARIS SYSTEMS
00:00:67;SOFT * RITE,INC
00:00:68;ROSEMOUNT CONTR
00:00:69;CONCORD COMMUNI
00:00:6A;COMPUTER CONSOL
00:00:6B;SILICON GRAPHIC
00:00:6C;PRIVATE
00:00:6D;CRAY COMMUNICAT
00:00:6E;ARTISOFT,INC.
00:00:6F;Madge Ltd.
00:00:70;HCL LIMITED
00:00:71;ADRA SYSTEMS IN
00:00:72;MINIWARE TECHNO
00:00:73;SIECOR CORPORAT
00:00:74;RICOH COMPANY L
00:00:75;Nortel Networks
00:00:76;ABEKAS VIDEO SY
00:00:77;INTERPHASE CORP
00:00:78;LABTAM LIMITED
00:00:79;NETWORTH INCORP
00:00:7A;DANA COMPUTER I
00:00:7B;RESEARCH MACHIN
00:00:7C;AMPERE INCORPOR
00:00:7D;SUN MICROSYSTEM
00:00:7E;CLUSTRIX CORPOR
00:00:7F;LINOTYPE-HELL A
00:00:80;CRAY COMMUNICAT
00:00:81;BAY NETWORKS
00:00:82;LECTRA SYSTEMES
00:00:83;TADPOLE TECHNOL
00:00:84;SUPERNET
00:00:85;CANON INC.
00:00:86;MEGAHERTZ CORPO
00:00:87;HITACHI,LTD.
00:00:88;Brocade Communi
00:00:89;CAYMAN SYSTEMS 
00:00:8A;DATAHOUSE INFOR
00:00:8B;INFOTRON
00:00:8C;Alloy Computer 
00:00:8D;Cryptek Inc.
00:00:8E;SOLBOURNE COMPU
00:00:8F;Raytheon
00:00:90;MICROCOM
00:00:91;ANRITSU CORPORA
00:00:92;COGENT DATA TEC
00:00:93;PROTEON INC.
00:00:94;ASANTE TECHNOLO
00:00:95;SONY TEKTRONIX 
00:00:96;MARCONI ELECTRO
00:00:97;EMC Corporation
00:00:98;CROSSCOMM CORPO
00:00:99;MTX,INC.
00:00:9A;RC COMPUTER A/S
00:00:9B;INFORMATION INT
00:00:9C;ROLM MIL-SPEC C
00:00:9D;LOCUS COMPUTING
00:00:9E;MARLI S.A.
00:00:9F;AMERISTAR TECHN
00:00:A0;SANYO Electric 
00:00:A1;MARQUETTE ELECT
00:00:A2;BAY NETWORKS
00:00:A3;NETWORK APPLICA
00:00:A4;ACORN COMPUTERS
00:00:A5;COMPATIBLE SYST
00:00:A6;NETWORK GENERAL
00:00:A7;NETWORK COMPUTI
00:00:A8;STRATUS COMPUTE
00:00:A9;NETWORK SYSTEMS
00:00:AA;XEROX CORPORATI
00:00:AB;LOGIC MODELING 
00:00:AC;CONWARE COMPUTE
00:00:AD;BRUKER INSTRUME
00:00:AE;DASSAULT ELECTR
00:00:AF;NUCLEAR DATA IN
00:00:B0;RND-RAD NETWORK
00:00:B1;ALPHA MICROSYST
00:00:B2;TELEVIDEO SYSTE
00:00:B3;CIMLINC INCORPO
00:00:B4;EDIMAX COMPUTER
00:00:B5;DATABILITY SOFT
00:00:B6;MICRO-MATIC RES
00:00:B7;DOVE COMPUTER C
00:00:B8;SEIKOSHA CO.,LT
00:00:B9;MCDONNELL DOUGL
00:00:BA;SIIG,INC.
00:00:BB;TRI-DATA
00:00:BC;Rockwell Automa
00:00:BD;MITSUBISHI CABL
00:00:BE;THE NTI GROUP
00:00:BF;SYMMETRIC COMPU
00:00:C0;WESTERN DIGITAL
00:00:C1;Madge Ltd.
00:00:C2;INFORMATION PRE
00:00:C3;HARRIS CORP COM
00:00:C4;WATERS DIV. OF 
00:00:C5;FARALLON COMPUT
00:00:C6;EON SYSTEMS
00:00:C7;ARIX CORPORATIO
00:00:C8;ALTOS COMPUTER 
00:00:C9;Emulex Corporat
00:00:CA;ARRIS Internati
00:00:CB;COMPU-SHACK ELE
00:00:CC;DENSAN CO.,LTD.
00:00:CD;Allied Telesis 
00:00:CE;MEGADATA CORP.
00:00:CF;HAYES MICROCOMP
00:00:D0;DEVELCON ELECTR
00:00:D1;ADAPTEC INCORPO
00:00:D2;SBE,INC.
00:00:D3;WANG LABORATORI
00:00:D4;PURE DATA LTD.
00:00:D5;MICROGNOSIS INT
00:00:D6;PUNCH LINE HOLD
00:00:D7;DARTMOUTH COLLE
00:00:D8;NOVELL,INC.
00:00:D9;NIPPON TELEGRAP
00:00:DA;ATEX
00:00:DB;BRITISH TELECOM
00:00:DC;HAYES MICROCOMP
00:00:DD;TCL INCORPORATE
00:00:DE;CETIA
00:00:DF;BELL & HOWELL P
00:00:E0;QUADRAM CORP.
00:00:E1;GRID SYSTEMS
00:00:E2;ACER TECHNOLOGI
00:00:E3;INTEGRATED MICR
00:00:E4;IN2 GROUPE INTE
00:00:E5;SIGMEX LTD.
00:00:E6;APTOR PRODUITS 
00:00:E7;STAR GATE TECHN
00:00:E8;ACCTON TECHNOLO
00:00:E9;ISICAD,INC.
00:00:EA;UPNOD AB
00:00:EB;MATSUSHITA COMM
00:00:EC;MICROPROCESS
00:00:ED;APRIL
00:00:EE;NETWORK DESIGNE
00:00:EF;KTI
00:00:F0;SAMSUNG ELECTRO
00:00:F1;MAGNA COMPUTER 
00:00:F2;SPIDER COMMUNIC
00:00:F3;GANDALF DATA LI
00:00:F4;Allied Telesis
00:00:F5;DIAMOND SALES L
00:00:F6;APPLIED MICROSY
00:00:F7;YOUTH KEEP ENTE
00:00:F8;DIGITAL EQUIPME
00:00:F9;QUOTRON SYSTEMS
00:00:FA;MICROSAGE COMPU
00:00:FB;RECHNER ZUR KOM
00:00:FC;MEIKO
00:00:FD;HIGH LEVEL HARD
00:00:FE;ANNAPOLIS MICRO
00:00:FF;CAMTEC ELECTRON
00:01:00;EQUIP'TRANS
